epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19679.1,0.92803,0.51114,0.95494,0.98244,0.91255,0.93094,0.7227,0.94168,0.42993,0.96043,0.000349331,0.000349331,0.000349331
43,20105.2,0.93608,0.51286,0.95808,0.98303,0.91046,0.92986,0.72598,0.90281,0.42256,0.95134,0.00034351,0.00034351,0.00034351
44,20531.1,0.91524,0.5044,0.95092,0.98492,0.91422,0.95122,0.73649,0.91903,0.42655,0.95658,0.000337688,0.000337688,0.000337688
45,20956.8,0.93008,0.49894,0.95916,0.98379,0.91123,0.93084,0.72619,0.90449,0.41793,0.95049,0.000331867,0.000331867,0.000331867
46,21383.8,0.92964,0.50848,0.95438,0.98619,0.91477,0.93784,0.73764,0.88084,0.40526,0.94401,0.000326046,0.000326046,0.000326046
47,21810.5,0.92939,0.50238,0.96046,0.9812,0.90845,0.93113,0.72899,0.88781,0.41028,0.94713,0.000320225,0.000320225,0.000320225
48,22252.2,0.92099,0.49727,0.95696,0.98482,0.91319,0.93887,0.73841,0.87141,0.40998,0.94334,0.000314404,0.000314404,0.000314404
49,22677.6,0.91381,0.49702,0.95799,0.98225,0.91196,0.98859,0.77962,0.87935,0.40957,0.94299,0.000308582,0.000308582,0.000308582
50,23105.4,0.91323,0.49468,0.9485,0.98316,0.91464,0.98876,0.7782,0.8893,0.40266,0.94821,0.000302761,0.000302761,0.000302761
51,23532.2,0.91805,0.49223,0.9524,0.98057,0.91151,0.93802,0.71843,0.95352,0.42262,0.96432,0.00029694,0.00029694,0.00029694
52,23957.5,0.91725,0.49009,0.95211,0.98166,0.91397,0.98728,0.77981,0.89407,0.40314,0.94908,0.000291119,0.000291119,0.000291119
53,24383,0.91188,0.484,0.94932,0.98113,0.90967,0.93369,0.74299,0.86829,0.39655,0.9431,0.000285298,0.000285298,0.000285298
54,24808.5,0.89529,0.48086,0.9471,0.98308,0.9082,0.93679,0.73522,0.88411,0.39798,0.94682,0.000279476,0.000279476,0.000279476
55,25234.7,0.8984,0.47718,0.94431,0.98472,0.91246,0.94024,0.74398,0.86467,0.39072,0.94561,0.000273655,0.000273655,0.000273655
56,25660.8,0.89979,0.48954,0.95269,0.98485,0.91298,0.93888,0.7472,0.86506,0.39087,0.94321,0.000267834,0.000267834,0.000267834
57,26102.1,0.88949,0.48048,0.94993,0.98301,0.91321,0.95195,0.75569,0.87891,0.39522,0.94717,0.000262013,0.000262013,0.000262013
58,26527.8,0.8928,0.47478,0.94636,0.985,0.91369,0.93799,0.73689,0.89064,0.39009,0.95144,0.000256192,0.000256192,0.000256192
59,26955.9,0.90155,0.47182,0.9477,0.98409,0.91319,0.93469,0.74714,0.87228,0.38411,0.94934,0.00025037,0.00025037,0.00025037
60,27382.6,0.89061,0.46872,0.93735,0.98619,0.91393,0.93336,0.73452,0.8837,0.38991,0.94853,0.000244549,0.000244549,0.000244549
61,27811.2,0.8813,0.47143,0.93821,0.98319,0.91345,0.93949,0.72571,0.92407,0.40267,0.95909,0.000238728,0.000238728,0.000238728
62,28237.5,0.87246,0.48043,0.92997,0.9853,0.91332,0.94054,0.74923,0.86151,0.3803,0.9424,0.000232907,0.000232907,0.000232907
63,28664.4,0.86921,0.46527,0.94117,0.98069,0.91094,0.9336,0.74792,0.86767,0.37806,0.94351,0.000227086,0.000227086,0.000227086
64,29090.1,0.88185,0.46093,0.94521,0.98072,0.91073,0.93374,0.72731,0.90879,0.39204,0.95521,0.000221264,0.000221264,0.000221264
65,29530.3,0.86776,0.4583,0.94333,0.98483,0.91338,0.93334,0.74479,0.85978,0.37726,0.94428,0.000215443,0.000215443,0.000215443
66,29955.8,0.87579,0.46703,0.94274,0.98562,0.91176,0.9399,0.74426,0.87687,0.37675,0.94399,0.000209622,0.000209622,0.000209622
67,30383,0.87274,0.4551,0.943,0.98381,0.91216,0.93233,0.7403,0.87403,0.38464,0.94762,0.000203801,0.000203801,0.000203801
68,30809,0.86235,0.44984,0.93953,0.98507,0.91235,0.93375,0.74319,0.86275,0.37425,0.94389,0.00019798,0.00019798,0.00019798
69,31234.9,0.86085,0.44317,0.93594,0.98604,0.91303,0.93355,0.73771,0.87326,0.37483,0.94974,0.000192158,0.000192158,0.000192158
70,31662.1,0.8524,0.44458,0.93392,0.98544,0.91478,0.93518,0.74638,0.87024,0.36891,0.94329,0.000186337,0.000186337,0.000186337
71,32087.8,0.856,0.44688,0.93262,0.9849,0.91337,0.93381,0.74321,0.85426,0.36611,0.93943,0.000180516,0.000180516,0.000180516
72,32514.2,0.84852,0.44197,0.93293,0.98189,0.9103,0.93228,0.73614,0.89086,0.37759,0.95157,0.000174695,0.000174695,0.000174695
73,32940.9,0.84965,0.43978,0.93088,0.98642,0.91463,0.9356,0.74867,0.85212,0.3647,0.9399,0.000168874,0.000168874,0.000168874
